0.9505     2.    11.
0.9515     5.    10.
0.9525     5.    13.
0.9535     4.     8.
0.9545     6.     9.
0.9555    17.    12.
0.9565     6.     5.
0.9575    16.    12.
0.9585    10.    14.
0.9595    12.    20.
0.9605    14.    17.
0.9615    13.    15.
0.9625    13.    21.
0.9635    19.    27.
0.9645    16.    25.
0.9655    13.    24.
0.9665    14.    31.
0.9675    17.    29.
0.9685    21.    28.
0.9695    10.    37.
0.9705    18.    25.
0.9715    21.    32.
0.9725    36.    50.
0.9735    47.    60.
0.9745    34.    39.
0.9755    46.    70.
0.9765    43.    60.
0.9775    52.    66.
0.9785    53.    68.
0.9795    65.    82.
0.9805    72.   101.
0.9815    83.   108.
0.9825    87.   109.
0.9835    93.   126.
0.9845   111.   123.
0.9855   131.   161.
0.9865   134.   182.
0.9875   201.   204.
0.9885   214.   234.
0.9895   241.   301.
0.9905   274.   269.
0.9915   320.   381.
0.9925   433.   400.
0.9935   483.   487.
0.9945   557.   507.
0.9955   744.   636.
0.9965   887.   730.
0.9975  1025.   811.
0.9985  1485.   886.
0.9995  1674.   953.
1.0005     0.   800.
1.0015     0.   301.
1.0025     0.    11.
1.0035     0.     0.
1.0045     0.     0.
1.0055     0.     0.
1.0065     0.     0.
1.0075     0.     0.
1.0085     0.     0.
1.0095     0.     0.
